                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.4765,                0.65363,                  1.155,                0.85232,                0.79537,                0.81784,                0.32292,                 2.1486,                0.81645,                 1.6566,             9.9034e-05,             9.9034e-05,             9.9034e-05
                     65,                 1.4666,                0.63252,                  1.138,                0.84709,                0.81263,                0.82285,                0.32985,                 2.1413,                0.76213,                 1.6402,             9.9003e-05,             9.9003e-05,             9.9003e-05
                     66,                 1.4678,                0.65318,                 1.1553,                0.83634,                0.80831,                0.81374,                0.31152,                 2.1462,                0.84021,                 1.6547,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     67,                 1.4738,                 0.6544,                 1.1513,                0.82562,                0.80109,                0.82611,                0.32253,                 2.1677,                0.81272,                 1.6628,              9.894e-05,              9.894e-05,              9.894e-05
                     68,                 1.4618,                0.64676,                 1.1546,                0.85099,                0.80253,                 0.8187,                0.31828,                 2.1773,                0.79538,                 1.6843,             9.8908e-05,             9.8908e-05,             9.8908e-05
                     69,                 1.4551,                0.63068,                 1.1411,                0.85013,                0.81253,                0.83595,                0.32915,                 2.1377,                0.77206,                 1.6253,             9.8875e-05,             9.8875e-05,             9.8875e-05
                     70,                 1.4275,                0.63369,                 1.1197,                0.84651,                0.81246,                0.83484,                0.33007,                 2.1564,                0.79079,                 1.6471,             9.8842e-05,             9.8842e-05,             9.8842e-05
                     71,                 1.4243,                0.64118,                 1.1298,                0.83393,                 0.8216,                0.82717,                0.31747,                 2.1867,                0.78452,                 1.7096,             9.8808e-05,             9.8808e-05,             9.8808e-05
                     72,                 1.4266,                0.63842,                  1.138,                0.83208,                0.81263,                 0.8267,                0.33734,                 2.1312,                 0.7854,                 1.6646,             9.8774e-05,             9.8774e-05,             9.8774e-05
                     73,                 1.4094,                0.62049,                 1.1225,                 0.8392,                0.80584,                0.81549,                0.32403,                   2.13,                0.79299,                 1.6777,             9.8739e-05,             9.8739e-05,             9.8739e-05
                     74,                 1.4105,                0.61904,                 1.1114,                0.84329,                0.79498,                0.80546,                 0.3267,                 2.1213,                0.79932,                 1.6386,             9.8704e-05,             9.8704e-05,             9.8704e-05
                     75,                 1.4064,                0.61831,                 1.1285,                 0.8349,                0.81023,                0.81502,                0.32384,                 2.1672,                0.78455,                 1.6608,             9.8668e-05,             9.8668e-05,             9.8668e-05
